"country","Life_expectancy","Fertility","GDP_per_capita","Population","Healthcare_spending","BMI","rank"
"Malawi",54.2,5.31,471,14900000,65.4,22.45,"low"
"Malaysia",74.4,2.15,8750,28400000,641,25.049999999999997,"high"
"Maldives",79.2,2.23,6230,316000,464,24.799999999999997,"high"
"Mali",59.4,6.55,682,15400000,55.6,22.450000000000003,"low"
"Malta",80.4,1.39,20000,417000,2260,27.4,"high"
"Mauritania",68.2,4.98,1590,3460000,79,24.450000000000003,"low"
"Mauritius",74,1.58,7930,1300000,803,25.65,"high"
"Micronesia, Fed. Sts.",67,3.46,2990,111000,451,29.700000000000003,"low"
"Moldova",69.8,1.27,2610,3570000,360,25.65,"low"
"Mongolia",66,2.64,2430,2760000,218,25.299999999999997,"low"
"Montenegro",76,1.77,6640,632000,1160,26.15,"high"
"Morocco",72.1,2.58,2800,32000000,246,25.9,"low"
"Mozambique",52,5.56,457,23400000,48.7,22.6,"low"
"Myanmar",64.8,2.41,979,48000000,34.4,21.95,"low"
"Namibia",59,3.61,5110,2280000,436,23.85,"low"
"Nepal",69.2,2.61,597,30000000,63,20.75,"low"
"Netherlands",80.8,1.8,51100,16600000,5040,25.75,"high"
"New Zealand",80.7,2.12,32000,4370000,3020,27.6,"high"
"Niger",59.1,7.49,471,15500000,36.9,21.6,"low"
"Nigeria",60.5,5.84,2170,158000000,121,23.35,"low"
"North Macedonia",75.9,1.47,4480,2060000,791,25.85,"high"
"Norway",80.9,1.95,88700,4880000,5430,26.299999999999997,"high"
"Oman",75.2,2.9,18100,2780000,598,26.45,"high"
"Pakistan",64.3,3.86,1030,174000000,58.7,22.85,"low"
"Panama",78.2,2.62,7450,3520000,1120,27,"high"
"Papua New Guinea",56.3,3.99,1800,6860000,87.7,25.4,"low"
"Paraguay",74.6,2.73,4150,6460000,302,25.7,"high"
"Peru",77.5,2.55,4710,29100000,481,25.4,"high"
"Philippines",69.2,3.16,2470,93300000,142,23.2,"low"
"Poland",76.4,1.37,12200,38300000,1480,26.299999999999997,"high"
"Portugal",80,1.33,21800,10700000,2820,26.45,"high"
"Qatar",78,2.07,60400,1760000,1620,28.5,"high"
"Romania",73.7,1.47,8110,21500000,811,25.299999999999997,"high"
"Russia",68.1,1.57,10300,143000000,998,26.6,"low"
"Rwanda",64.3,4.52,608,10600000,121,22.35,"low"
"Samoa",72.5,4.34,3460,183000,283,32.05,"low"
"Sao Tome and Principe",68.9,4.79,1100,165000,142,24.2,"low"
"Saudi Arabia",74.8,2.96,19500,27500000,968,28.75,"high"
"Senegal",65.9,5.06,1270,12400000,109,23.1,"low"
"Serbia",74.4,1.58,5610,9860000,1170,26.1,"high"
"Seychelles",73.2,2.36,10200,86500,785,26.8,"low"
"Sierra Leone",55.4,5.2,406,5870000,107,23.2,"low"
"Singapore",83.2,1.26,46700,5090000,2270,23.35,"high"
"Slovak Republic",75.6,1.36,16400,5460000,2060,26.6,"high"
"Slovenia",79.5,1.52,23200,2030000,2550,27,"high"
"Solomon Islands",61.7,4.24,941,538000,227,28.049999999999997,"low"
"South Africa",56.1,2.59,7170,50100000,935,28.2,"low"
"South Korea",80.6,1.19,23100,48200000,2020,23.65,"high"
"Spain",82,1.37,30100,46100000,3030,26.9,"high"
"Sri Lanka",74.7,2.2,2770,20900000,148,22.55,"high"
"St. Lucia",75.6,1.54,8310,174000,804,25.9,"high"
"St. Vincent and the Grenadines",72.9,2.07,6180,109000,466,26.45,"low"
"Sudan",67.7,4.88,1310,34100000,141,22.799999999999997,"low"
"Suriname",71.4,2.52,8060,525000,523,26.65,"low"
"Sweden",81.5,1.99,54300,9380000,3760,25.75,"high"
"Switzerland",82.5,1.5,79000,7660000,5390,25.15,"high"
"Tajikistan",69.8,3.51,926,6880000,128,23.85,"low"
"Tanzania",60.9,5.43,730,44800000,83.4,22.8,"low"
"Thailand",77,1.55,4860,69100000,330,23.7,"high"
"Timor-Leste",70,6.23,3040,1120000,84,21.05,"low"
"Togo",59.2,4.87,530,6030000,76.9,22.299999999999997,"low"
"Tonga",71,3.91,3670,104000,229,32.65,"low"
"Trinidad and Tobago",73.6,1.81,15900,1340000,1450,27.35,"high"
"Tunisia",77,2.14,3950,10500000,483,26.549999999999997,"high"
"Turkey",77.6,2.16,10600,72800000,1030,27.5,"high"
"Turkmenistan",69.6,2.83,4070,5040000,199,25,"low"
"Uganda",59.1,6.15,806,33400000,124,22.45,"low"
"Ukraine",70.8,1.45,2920,45500000,519,25.799999999999997,"low"
"United Arab Emirates",72.9,1.87,33900,7510000,1540,28.85,"low"
"United Kingdom",80.4,1.89,39500,62000000,3480,27.15,"high"
"United States",78.7,1.93,48900,310000000,8360,28.4,"high"
"Uruguay",76.4,2.08,11500,3370000,1190,26.5,"high"
"Uzbekistan",68.8,2.44,1640,27400000,184,25.35,"low"
"Vanuatu",64,3.5,2860,240000,240,27.65,"low"
"Venezuela",75.3,2.47,13700,29000000,589,27.75,"high"
"Vietnam",73.5,1.95,1270,87900000,215,21,"high"
"Yemen",68,4.67,1260,24100000,122,25.25,"low"
"Zambia",56,5.4,1390,13100000,90.2,21.9,"low"
